# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
4140 0.99379 -1.31871 0.813897
4150 0.989743 -1.34519 0.743422
4160 0.965581 -1.32816 0.796366
4170 1.00319 -1.34732 0.758767
4180 0.974512 -1.33668 0.785968
4190 0.979018 -1.35515 0.726175
4200 0.976244 -1.34864 0.752898
4210 1.01236 -1.35271 0.785251
4220 1.00273 -1.3465 0.781427
4230 0.991755 -1.3334 0.799104
4240 1.00417 -1.33951 0.784209
4250 0.996818 -1.33365 0.820058
4260 0.977391 -1.34527 0.786318
4270 0.984008 -1.3389 0.813491
4280 0.990194 -1.32074 0.878548
4290 0.997471 -1.30489 0.932319
4300 0.961943 -1.32621 0.82111
4310 1.02121 -1.32846 0.830519
4320 1.01871 -1.31895 0.862787
4330 1.02289 -1.35642 0.73826
4340 1.02895 -1.33402 0.834622
4350 1.00872 -1.33572 0.817583
4360 0.968318 -1.33731 0.788564
4370 0.946526 -1.31422 0.865768
4380 0.972027 -1.32176 0.840046
4390 0.984718 -1.33142 0.800142
4400 0.997293 -1.33757 0.797669
4410 0.999286 -1.3073 0.903842
4420 1.02259 -1.31657 0.887783
4430 1.01494 -1.33369 0.822923
4440 1.06652 -1.34368 0.816188
4450 1.00957 -1.36079 0.738312
4460 0.978629 -1.35187 0.750308
4470 1.0181 -1.34892 0.783161
4480 1.02262 -1.3108 0.884422
4490 1.03495 -1.34137 0.759997
4500 1.03979 -1.34011 0.757951
4510 1.01716 -1.31817 0.852041
4520 0.991249 -1.33092 0.788113
4530 0.981745 -1.34664 0.691099
4540 1.00186 -1.33804 0.699848
4550 0.984764 -1.34041 0.68904
4560 0.992802 -1.34067 0.710805
4570 0.995308 -1.33817 0.733034
4580 0.998234 -1.3215 0.802369
4590 1.04125 -1.34676 0.737178
4600 0.96726 -1.33847 0.740277
4610 0.964642 -1.35 0.712445
4620 0.956077 -1.35211 0.702754
4630 0.988372 -1.3379 0.76298
4640 0.977282 -1.32863 0.782046
4650 0.96331 -1.32645 0.77111
4660 0.964916 -1.28947 0.886587
4670 0.994277 -1.31277 0.803943
4680 1.01213 -1.30962 0.818647
4690 1.01873 -1.31453 0.816227
4700 1.03989 -1.29823 0.894391
4710 1.01343 -1.3239 0.812776
4720 1.03022 -1.32276 0.81788
4730 0.989117 -1.32404 0.775835
4740 1.0117 -1.32857 0.746267
4750 0.990516 -1.33956 0.693579
4760 0.984783 -1.33636 0.702323
4770 0.993788 -1.33174 0.742061
4780 0.961087 -1.32496 0.760316
4790 0.983581 -1.31464 0.808068
4800 0.982629 -1.30689 0.84324
4810 1.01618 -1.31571 0.811665
4820 1.01558 -1.33564 0.742911
4830 0.991452 -1.33241 0.744777
4840 1.01138 -1.3378 0.724668
4850 1.0308 -1.3134 0.819879
4860 1.02515 -1.30361 0.857404
4870 1.01914 -1.3282 0.759202
4880 1.00253 -1.33131 0.739777
4890 1.01881 -1.313 0.833565
4900 1.01877 -1.31456 0.83649
4910 0.991728 -1.31287 0.83338
4920 1.00124 -1.31496 0.809767
4930 1.03978 -1.33514 0.756334
4940 1.02027 -1.31331 0.832344
4950 1.02035 -1.31939 0.847121
4960 1.00345 -1.33077 0.80964
4970 1.0112 -1.32035 0.832421
4980 0.996108 -1.33744 0.74641
4990 0.992137 -1.33874 0.732649
5000 1.0163 -1.32558 0.786761
5010 0.957756 -1.32393 0.748618
5020 0.993183 -1.3526 0.673229
5030 0.976985 -1.32254 0.786472
5040 0.978431 -1.31185 0.847629
5050 0.991244 -1.31193 0.872338
5060 1.01916 -1.30804 0.887524
5070 1.0572 -1.29387 0.93024
5080 1.07418 -1.29117 0.926218
5090 1.06381 -1.32532 0.775318
5100 1.02517 -1.33546 0.722554
5110 1.00214 -1.32235 0.77268
5120 0.98815 -1.31644 0.805346
5130 0.99317 -1.31787 0.806877
5140 0.981669 -1.31369 0.818796
5150 1.01318 -1.31415 0.821408
5160 1.00687 -1.30143 0.850622
5170 1.01304 -1.33936 0.715253
5180 1.04784 -1.33455 0.73446
5190 1.01058 -1.33355 0.736049
5200 1.04753 -1.3522 0.713309
5210 1.02353 -1.33078 0.776395
5220 0.987498 -1.33662 0.747672
5230 1.03045 -1.35073 0.712769
5240 0.983382 -1.3213 0.791622
5250 0.989311 -1.34447 0.698698
5260 0.994224 -1.32783 0.754273
5270 0.994236 -1.3324 0.747035
5280 0.971308 -1.31463 0.808442
5290 0.972106 -1.31488 0.804297
5300 0.966527 -1.3297 0.734419
5310 0.996575 -1.3355 0.73483
5320 0.984957 -1.33331 0.75106
5330 1.02637 -1.33238 0.754113
5340 0.972473 -1.3279 0.747314
5350 0.962263 -1.32355 0.765271
5360 0.972165 -1.34554 0.702188
5370 0.979274 -1.3296 0.760389
5380 1.01809 -1.3145 0.833432
5390 0.997552 -1.32444 0.779894
5400 0.990165 -1.31911 0.793042
5410 0.995707 -1.304 0.850073
5420 1.00064 -1.29791 0.874743
5430 0.98181 -1.32742 0.771358
5440 0.999312 -1.30823 0.862064
5450 0.975796 -1.32031 0.816242
5460 0.972574 -1.31811 0.823637
5470 1.03866 -1.34209 0.771989
5480 1.03145 -1.3183 0.863421
5490 1.00117 -1.32023 0.851637
5500 0.968832 -1.3389 0.776744
5510 0.97041 -1.33639 0.79664
5520 0.962441 -1.31078 0.867993
5530 0.972438 -1.33344 0.788482
5540 1.00242 -1.31809 0.843742
5550 0.997077 -1.32177 0.820427
5560 0.976262 -1.30297 0.850103
5570 0.958371 -1.29994 0.840567
5580 1.00347 -1.2815 0.896181
5590 0.9965 -1.31273 0.770021
5600 0.983078 -1.28088 0.846635
5610 1.02768 -1.29283 0.814572
5620 0.997541 -1.29483 0.823732
5630 1.00593 -1.29042 0.869117
5640 0.996007 -1.2874 0.880574
5650 1.02393 -1.33424 0.714842
5660 0.986754 -1.32496 0.709384
5670 1.02655 -1.3162 0.763463
5680 0.993313 -1.31174 0.798102
5690 0.960281 -1.3057 0.823158
5700 1.02213 -1.33403 0.750718
5710 1.01941 -1.32045 0.799406
5720 1.02087 -1.32585 0.792462
5730 0.995675 -1.31502 0.826375
5740 0.99312 -1.31617 0.832248
5750 0.990416 -1.29488 0.917617
5760 1.00196 -1.30134 0.911964
5770 0.992357 -1.32142 0.833124
5780 0.991293 -1.32754 0.799313
5790 0.97844 -1.32046 0.817624
5800 1.02279 -1.32354 0.828306
5810 1.032 -1.32449 0.82555
5820 1.0101 -1.30666 0.893471
5830 0.981441 -1.32649 0.810892
5840 0.993876 -1.33037 0.782357
5850 1.02335 -1.33791 0.761313
5860 0.966633 -1.32313 0.790934
5870 1.00046 -1.32192 0.836919
5880 0.971625 -1.2852 0.956954
5890 1.06754 -1.33118 0.831901
5900 1.03629 -1.32131 0.834395
5910 0.993007 -1.31225 0.834259
5920 1.05072 -1.33568 0.781184
5930 1.00546 -1.30076 0.867916
5940 1.0421 -1.29906 0.862381
5950 1.05574 -1.32614 0.750759
5960 1.01733 -1.29584 0.83577
5970 1.02808 -1.29953 0.818841
5980 0.990559 -1.28981 0.839691
5990 1.01541 -1.30691 0.786472
6000 1.02212 -1.33689 0.670733
6010 1.01734 -1.30757 0.785548
6020 1.03273 -1.30218 0.804971
6030 0.991882 -1.29689 0.801127
6040 1.06597 -1.30521 0.800746
6050 1.00668 -1.32191 0.737652
6060 0.989498 -1.29768 0.834802
6070 1.03348 -1.31274 0.799396
6080 1.04164 -1.29343 0.858543
6090 1.01796 -1.3074 0.829887
6100 1.03285 -1.3123 0.802673
6110 1.01417 -1.31582 0.772702
6120 0.983874 -1.30925 0.762467
6130 0.99918 -1.32177 0.716186
6140 0.982011 -1.33004 0.687617
6150 1.00477 -1.34954 0.636247
6160 1.0074 -1.33239 0.693043
6170 0.982196 -1.32679 0.718063
6180 0.982732 -1.32717 0.724697
6190 1.0034 -1.29461 0.843112
6200 1.02726 -1.32096 0.768537
6210 0.962559 -1.3151 0.769025
6220 1.0119 -1.33955 0.712727
6230 0.968793 -1.3273 0.746617
6240 0.97576 -1.30048 0.861584
6250 1.01642 -1.31021 0.835365
6260 0.986757 -1.31424 0.786584
6270 0.978179 -1.33682 0.683252
6280 0.976577 -1.3249 0.698905
6290 0.967897 -1.31644 0.708037
6300 0.998678 -1.31488 0.713507
6310 0.959104 -1.3408 0.602498
6320 0.970098 -1.3456 0.626169
6330 0.997463 -1.3468 0.663313
6340 1.02259 -1.34253 0.699328
6350 1.00637 -1.3255 0.762705
6360 0.988499 -1.34335 0.700101
6370 0.992205 -1.34428 0.692607
6380 0.981297 -1.35053 0.677957
6390 1.00919 -1.34735 0.720683
6400 0.972138 -1.31439 0.840311
6410 0.972371 -1.32932 0.765135
6420 0.972952 -1.33021 0.749003
6430 0.992295 -1.32462 0.790849
6440 0.940174 -1.30245 0.844376
6450 0.980762 -1.3216 0.794552
6460 0.938188 -1.30286 0.834871
6470 1.00255 -1.31707 0.809893
6480 1.01477 -1.306 0.847262
6490 1.00369 -1.33235 0.739235
6500 1.04137 -1.35832 0.662189
6510 1.00584 -1.33604 0.732856
6520 1.01525 -1.31301 0.81421
6530 1.00024 -1.30744 0.840464
6540 1.02704 -1.3203 0.80384
6550 1.05797 -1.32916 0.800018
6560 1.01889 -1.32818 0.79262
6570 0.995886 -1.32592 0.788998
6580 1.027 -1.32481 0.822909
6590 1.01677 -1.31211 0.864004
6600 1.02372 -1.31448 0.852456
6610 1.0199 -1.29469 0.909622
6620 1.00635 -1.30296 0.867092
6630 1.03128 -1.31174 0.848269
6640 1.01521 -1.29707 0.885492
6650 1.02977 -1.29065 0.920879
6660 0.976968 -1.29873 0.880138
6670 1.02313 -1.32096 0.815701
6680 0.994039 -1.31514 0.801481
6690 0.987509 -1.33218 0.72822
6700 0.986582 -1.30114 0.827784
6710 1.02656 -1.32903 0.75804
6720 0.977141 -1.32536 0.732504
6730 1.00111 -1.30342 0.819301
6740 1.0138 -1.29694 0.854599
